OT,surgery_duration,schedule_day,simulation_day
7,60,0,0
2,32,0,0
5,329,0,0
6,258,0,0
6,388,0,0
3,751,0,0
5,822,0,0
7,815,0,0
9,1251,0,0
MRI,57,1,1
2,157,1,1
MRI,48,1,1
3,31,1,1
5,98,1,1
2,209,1,1
MRI,36,1,1
5,113,1,1
7,770,1,1
8,204,1,1
8,29,1,1
1,73,0,0
MRI,52,1,1
MRI,48,1,1
3,84,1,1
2,81,1,1
7,86,2,2
4,146,2,2
8,84,2,2
7,64,2,2
3,150,2,2
3,149,2,2
4,218,2,2
4,69,2,2
3,82,2,2
3,169,2,2
7,64,2,2
5,1378,2,2
8,53,2,2
3,36,3,3
7,114,3,3
7,64,3,3
7,46,3,3
4,100,3,3
1,69,3,3
10,2064,2,2
10,305,1,1
1,81,1,1
6,242,3,3
6,113,3,3
5,1568,3,3
MRI,67,4,4
3,142,4,4
MRI,54,4,4
MRI,43,4,4
5,914,1,1
3,294,4,4
MRI,51,1,1
4,1186,4,4
1,57,2,2
8,240,4,4
2,66,3,3
5,693,4,4
MRI,52,4,4
MRI,65,4,4
2,50,7,7
7,42,4,4
MRI,42,7,7
6,596,7,7
MRI,64,7,7
9,2476,2,2
MRI,59,7,7
MRI,62,7,7
5,767,7,7
MRI,67,7,7
5,60,7,7
1,96,4,4
7,68,2,2
10,112,7,7
3,37,8,8
MRI,51,8,8
2,169,8,8
MRI,40,8,8
2,105,8,8
MRI,36,8,8
MRI,88,8,8
2,274,8,8
2,32,8,8
MRI,52,8,8
7,423,8,8
1,75,7,7
3,537,8,8
MRI,36,8,8
7,45,9,9
4,127,9,9
8,651,3,3
8,556,0,0
10,126,7,7
7,78,9,9
7,40,9,9
6,219,9,9
8,2099,8,8
5,739,8,8
4,54,9,9
7,57,9,9
4,78,9,9
4,58,9,9
7,55,10,10
5,1689,9,9
4,62,10,10
7,68,10,10
1,42,10,10
10,2199,9,9
4,105,10,10
6,195,9,9
9,43,9,9
10,191,8,8
5,860,10,10
6,141,10,10
3,36,10,10
MRI,68,11,11
MRI,32,11,11
MRI,44,11,11
10,75,11,11
MRI,62,11,11
6,154,10,10
MRI,54,11,11
10,190,4,4
1,96,9,9
MRI,85,7,7
7,39,11,11
4,307,11,11
7,283,11,11
3,50,11,11
5,1124,11,11
7,45,10,10
4,146,11,11
1,101,8,8
1,80,11,11
7,56,14,14
MRI,94,11,11
3,39,11,11
3,178,7,7
6,300,14,14
5,524,14,14
2,42,14,14
6,515,14,14
6,162,4,4
8,349,7,7
MRI,59,15,15
10,103,15,15
MRI,40,15,15
MRI,24,15,15
7,782,14,14
5,348,15,15
MRI,36,15,15
2,147,15,15
9,1636,14,14
10,56,15,15
3,245,15,15
10,1095,0,0
8,64,15,15
2,90,15,15
3,41,15,15
5,107,15,15
5,57,16,16
7,54,16,16
6,285,16,16
7,61,15,15
7,56,16,16
4,57,16,16
8,722,16,16
4,626,16,16
6,180,16,16
5,1440,16,16
8,91,15,15
6,99,17,17
3,38,17,17
4,74,17,17
10,1278,16,16
2,36,17,17
5,88,17,17
7,86,17,17
7,64,17,17
1,743,15,15
8,432,10,10
5,1010,17,17
1,65,16,16
7,102,16,16
8,191,18,18
7,69,17,17
8,255,11,11
