OT,schedule_day
MRI,18
9,23
3,3
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
4,11
MRI,11
MRI,11
MRI,11
MRI,11
MRI,22
MRI,22
9,0
9,0
MRI,1
MRI,1
MRI,1
MRI,1
MRI,8
9,9
4,11
MRI,21
MRI,22
4,25
4,25
4,25
4,25
4,11
3,11
MRI,11
MRI,11
MRI,11
MRI,11
3,11
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
MRI,25
MRI,25
9,0
9,0
MRI,1
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
4,11
MRI,11
MRI,11
MRI,11
MRI,11
9,14
MRI,15
9,16
MRI,18
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,25
9,0
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
9,9
4,11
MRI,11
MRI,11
MRI,11
9,14
5,18
MRI,21
MRI,21
MRI,21
4,24
10,24
7,25
MRI,25
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
4,11
MRI,11
MRI,11
MRI,11
MRI,11
MRI,21
MRI,21
MRI,21
MRI,22
9,0
MRI,1
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
9,9
4,10
4,11
MRI,11
9,14
MRI,18
MRI,18
MRI,21
MRI,21
MRI,22
MRI,22
9,23
4,25
4,25
MRI,25
MRI,25
MRI,25
4,25
4,25
4,25
MRI,4
MRI,7
MRI,7
9,9
MRI,11
8,16
MRI,21
MRI,21
MRI,21
MRI,21
MRI,1
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
8,8
MRI,8
MRI,8
MRI,8
MRI,8
9,9
4,11
4,11
MRI,11
MRI,11
MRI,11
8,16
9,16
MRI,18
MRI,18
MRI,18
MRI,21
MRI,22
9,0
9,0
8,2
MRI,4
MRI,4
5,7
MRI,7
MRI,7
MRI,7
MRI,7
MRI,8
4,11
MRI,11
MRI,11
MRI,11
9,14
MRI,15
9,16
MRI,18
MRI,18
MRI,18
MRI,21
MRI,25
9,0
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
4,9
3,11
MRI,11
3,11
MRI,15
MRI,15
9,16
MRI,18
MRI,21
MRI,21
MRI,1
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,4
MRI,7
MRI,8
MRI,8
MRI,18
MRI,18
MRI,21
MRI,21
8,2
MRI,4
MRI,7
MRI,7
8,16
MRI,18
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,21
9,23
9,0
MRI,1
MRI,1
MRI,4
MRI,4
MRI,4
MRI,7
MRI,8
MRI,11
MRI,18
9,0
MRI,1
MRI,7
MRI,7
MRI,7
MRI,8
9,9
4,11
MRI,11
MRI,11
MRI,15
MRI,15
MRI,15
MRI,18
MRI,21
MRI,7
MRI,7
MRI,7
MRI,8
8,9
4,10
MRI,11
MRI,11
MRI,11
MRI,11
9,14
MRI,15
MRI,15
MRI,15
9,16
9,23
MRI,25
MRI,25
MRI,25
MRI,25
9,0
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,11
8,15
MRI,22
9,23
MRI,25
MRI,25
MRI,7
8,9
9,9
3,11
3,11
MRI,15
MRI,15
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
9,23
MRI,25
8,2
MRI,7
MRI,7
MRI,7
MRI,7
8,9
9,14
8,15
MRI,15
9,16
MRI,18
MRI,18
8,22
9,23
4,23
4,24
MRI,25
MRI,7
9,16
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,22
9,23
4,23
MRI,25
MRI,25
4,25
MRI,4
9,9
MRI,11
MRI,11
MRI,11
9,14
MRI,15
MRI,15
9,16
MRI,21
9,23
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
3,7
MRI,7
MRI,7
MRI,7
4,11
MRI,11
MRI,11
MRI,11
9,16
MRI,18
MRI,18
MRI,18
MRI,21
5,22
5,22
5,22
5,22
5,22
9,0
9,0
MRI,1
MRI,1
MRI,7
9,9
4,11
MRI,11
MRI,11
MRI,11
MRI,11
MRI,15
MRI,15
MRI,15
MRI,18
MRI,25
MRI,25
MRI,25
MRI,25
9,0
MRI,1
MRI,1
MRI,1
MRI,1
MRI,7
MRI,7
8,8
9,9
MRI,15
4,25
MRI,25
4,25
4,25
MRI,7
MRI,8
MRI,8
MRI,11
MRI,11
MRI,11
9,16
MRI,21
MRI,25
MRI,1
8,2
MRI,4
MRI,7
8,8
MRI,8
4,9
MRI,15
MRI,15
MRI,15
MRI,15
9,16
MRI,18
MRI,18
MRI,18
MRI,18
MRI,18
9,23
4,23
9,0
MRI,8
MRI,8
MRI,8
MRI,8
9,9
4,11
4,11
MRI,11
MRI,11
MRI,11
MRI,11
MRI,15
MRI,15
9,16
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
4,23
MRI,1
MRI,1
5,2
MRI,7
4,11
MRI,11
MRI,11
MRI,11
MRI,11
9,14
MRI,15
MRI,15
9,16
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
MRI,25
MRI,25
MRI,25
9,0
MRI,1
MRI,1
3,4
MRI,4
MRI,7
MRI,8
MRI,8
MRI,11
MRI,11
9,16
MRI,18
MRI,18
9,23
MRI,4
MRI,8
MRI,8
MRI,8
4,10
MRI,18
5,22
5,22
5,22
5,22
5,22
8,23
4,24
MRI,1
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,7
MRI,11
MRI,11
MRI,11
MRI,11
9,14
MRI,18
MRI,21
MRI,22
4,23
4,25
4,25
MRI,25
MRI,25
MRI,25
4,25
4,25
4,25
3,7
3,8
MRI,8
3,8
8,9
8,9
4,9
2,10
MRI,11
MRI,11
MRI,15
MRI,15
9,16
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
9,23
4,24
MRI,25
9,0
MRI,1
MRI,4
MRI,4
2,8
9,9
4,11
MRI,11
MRI,11
MRI,11
MRI,11
MRI,15
9,23
MRI,1
MRI,1
MRI,1
8,2
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
MRI,8
MRI,8
MRI,8
9,9
7,9
4,10
2,10
4,11
MRI,11
MRI,15
MRI,15
9,16
MRI,18
MRI,21
MRI,21
MRI,21
MRI,22
9,23
4,24
4,25
4,25
MRI,25
4,25
4,25
MRI,1
MRI,1
MRI,1
MRI,1
8,2
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
9,9
4,9
MRI,11
MRI,11
MRI,11
MRI,11
MRI,21
MRI,25
9,0
MRI,1
MRI,4
MRI,4
MRI,4
MRI,7
MRI,8
MRI,11
MRI,21
MRI,21
MRI,21
4,25
4,25
MRI,25
MRI,25
MRI,25
MRI,25
4,25
9,0
9,0
3,4
MRI,7
MRI,7
MRI,7
MRI,7
MRI,7
MRI,11
MRI,11
MRI,11
9,16
MRI,21
MRI,21
9,0
MRI,1
4,11
MRI,11
MRI,11
9,14
MRI,15
MRI,15
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
9,23
MRI,25
MRI,25
9,0
9,0
MRI,1
MRI,1
MRI,4
MRI,7
9,14
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
MRI,22
9,23
MRI,25
9,0
9,0
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
5,8
MRI,8
MRI,8
5,8
5,8
5,8
4,11
MRI,11
9,14
9,16
MRI,21
9,0
MRI,1
8,2
4,11
MRI,11
MRI,11
MRI,11
9,23
MRI,25
4,25
4,25
4,25
4,25
MRI,1
MRI,7
MRI,8
9,9
MRI,15
MRI,15
MRI,15
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,22
9,23
MRI,25
MRI,25
MRI,25
MRI,1
MRI,8
9,16
MRI,21
MRI,21
MRI,21
MRI,1
9,9
9,14
4,23
4,24
4,25
MRI,25
MRI,25
MRI,25
MRI,25
4,25
4,25
9,0
9,0
MRI,7
MRI,8
MRI,8
MRI,8
MRI,8
9,9
4,9
4,11
MRI,11
MRI,11
9,14
MRI,15
MRI,15
MRI,21
9,23
9,0
MRI,4
MRI,7
MRI,7
MRI,7
MRI,7
9,9
MRI,11
MRI,15
9,16
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,25
MRI,8
9,9
4,11
MRI,11
MRI,25
3,4
MRI,7
MRI,8
4,9
MRI,11
8,16
MRI,21
9,23
MRI,25
MRI,25
9,0
9,0
MRI,1
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
4,11
MRI,11
9,14
MRI,15
MRI,15
MRI,15
9,16
MRI,18
MRI,18
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,21
9,23
MRI,25
MRI,25
9,0
MRI,4
MRI,7
MRI,15
9,16
MRI,22
9,23
MRI,25
MRI,7
MRI,8
4,9
MRI,11
MRI,18
MRI,18
MRI,18
MRI,22
MRI,25
MRI,4
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
9,9
4,11
MRI,11
MRI,21
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
9,9
4,11
MRI,11
MRI,11
MRI,11
9,14
MRI,21
9,0
9,0
MRI,1
MRI,1
MRI,1
MRI,1
MRI,4
MRI,4
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
9,9
4,11
9,14
MRI,15
9,16
MRI,18
MRI,18
MRI,21
MRI,21
MRI,21
MRI,22
9,23
4,24
4,25
4,25
MRI,25
MRI,25
MRI,25
4,25
4,25
4,25
MRI,11
9,16
MRI,18
MRI,18
MRI,21
MRI,21
9,23
3,3
9,14
9,16
MRI,25
MRI,1
4,11
MRI,11
MRI,11
MRI,11
MRI,11
MRI,4
MRI,7
MRI,7
MRI,7
MRI,8
9,9
9,16
9,16
MRI,21
9,23
4,24
MRI,25
4,25
4,25
MRI,25
4,25
4,25
