OT,surgery_duration,schedule_day,simulation_day
2,32,0,0
7,31,0,0
6,290,0,0
5,261,0,0
5,780,0,0
MRI,43,1,1
MRI,50,1,1
2,252,1,1
8,507,1,1
6,1698,0,0
10,162,1,1
5,79,1,1
2,176,1,1
9,890,0,0
2,74,1,1
10,28,1,1
MRI,22,1,1
5,140,1,1
1,974,1,1
1,73,0,0
MRI,54,1,1
10,514,0,0
7,86,2,2
3,83,1,1
4,147,2,2
3,50,1,1
3,105,2,2
7,480,2,2
5,897,2,2
9,982,2,2
4,44,2,2
7,85,0,0
3,125,2,2
7,78,3,3
7,70,3,3
6,131,3,3
3,35,3,3
1,65,3,3
4,42,3,3
6,85,3,3
5,924,3,3
8,1413,2,2
7,33,3,3
10,2688,2,2
MRI,69,4,4
7,82,4,4
9,48,0,0
4,138,3,3
9,58,0,0
1,78,2,2
8,519,0,0
MRI,41,4,4
3,451,4,4
4,1122,4,4
3,165,0,0
7,663,1,1
8,67,4,4
10,271,4,4
7,53,3,3
7,1515,4,4
5,921,4,4
7,1109,0,0
MRI,60,4,4
6,274,7,7
MRI,43,7,7
6,427,7,7
5,1150,7,7
MRI,45,8,8
5,169,8,8
5,114,8,8
MRI,39,8,8
10,314,7,7
MRI,71,4,4
5,105,8,8
7,913,8,8
2,63,8,8
MRI,59,7,7
2,281,8,8
6,98,9,9
10,1936,8,8
8,653,8,8
7,78,9,9
6,98,9,9
5,45,9,9
5,84,7,7
8,1184,9,9
4,142,9,9
4,77,9,9
4,202,10,10
4,189,2,2
6,95,10,10
7,54,10,10
5,2422,9,9
1,91,9,9
1,79,4,4
7,35,11,11
3,116,7,7
5,113,11,11
MRI,57,11,11
3,188,11,11
4,156,11,11
7,40,11,11
2,54,10,10
5,966,11,11
7,728,9,9
3,897,11,11
3,108,11,11
1,72,7,7
8,140,11,11
1,101,11,11
8,68,11,11
8,464,3,3
8,403,7,7
10,201,11,11
6,234,14,14
5,465,14,14
6,522,14,14
5,215,15,15
10,76,14,14
5,221,15,15
7,726,15,15
10,160,14,14
10,155,14,14
7,674,14,14
MRI,59,15,15
4,158,16,16
8,63,16,16
6,182,16,16
4,41,16,16
5,37,16,16
1,62,16,16
1,63,15,15
8,192,16,16
5,834,16,16
4,105,17,17
6,180,16,16
9,66,16,16
6,205,4,4
1,68,17,17
7,806,16,16
7,48,11,11
10,2830,16,16
7,59,11,11
3,47,18,18
3,207,18,18
4,728,18,18
MRI,48,18,18
7,56,10,10
3,665,14,14
9,854,9,9
3,77,18,18
1,551,8,8
5,307,17,17
6,43,18,18
MRI,40,21,21
1,57,14,14
10,75,21,21
5,60,21,21
2,19,14,14
5,835,21,21
6,557,21,21
3,282,10,10
MRI,55,22,22
4,58,22,22
10,58,21,21
3,495,22,22
7,63,22,22
5,98,22,22
3,118,17,17
7,92,22,22
4,29,22,22
2,139,22,22
5,224,22,22
4,19,22,22
2,53,21,21
5,177,22,22
5,1335,18,18
7,593,23,23
6,425,23,23
6,218,23,23
8,121,23,23
1,105,21,21
5,1298,23,23
9,86,23,23
2,64,22,22
3,124,21,21
7,38,24,24
9,1485,23,23
7,89,24,24
6,151,24,24
10,78,24,24
4,48,23,23
4,175,23,23
1,71,22,22
8,377,14,14
9,661,14,14
8,501,21,21
3,57,24,24
5,983,24,24
1,58,23,23
6,218,24,24
MRI,74,25,25
3,152,25,25
1,95,18,18
MRI,67,25,25
1,68,24,24
3,35,25,25
3,54,25,25
5,695,25,25
4,1144,25,25
5,59,25,25
3,117,25,25
10,130,25,25
MRI,115,25,25
2,184,15,15
4,38,16,16
2,25,0,28
9,117,0,28
5,399,0,28
7,67,0,28
6,928,0,28
9,100,0,28
8,319,25,25
MRI,33,1,29
MRI,46,1,29
2,152,1,29
MRI,32,1,29
5,56,1,29
7,39,0,28
2,131,1,29
MRI,57,1,29
7,526,1,29
7,475,25,25
1,1084,1,29
3,354,2,30
4,781,2,30
1,64,25,25
10,339,0,28
8,675,2,30
5,1307,2,30
7,90,2,30
7,650,2,30
3,49,3,31
10,1664,2,30
1,116,2,30
3,45,2,30
1,28,3,31
8,147,4,32
3,110,0,28
4,197,24,24
4,1247,4,32
10,92,21,21
3,286,4,32
7,673,4,32
6,79,3,31
10,355,23,23
10,137,1,29
6,39,25,25
5,1903,3,31
7,516,0,28
4,112,3,31
6,363,11,11
1,81,0,28
6,527,7,35
9,1318,2,30
5,701,7,35
9,74,23,23
MRI,72,8,36
MRI,29,8,36
5,141,8,36
3,187,7,35
MRI,43,8,36
MRI,71,8,36
5,216,8,36
7,890,8,36
5,221,8,36
2,61,8,36
2,384,8,36
7,143,9,37
8,320,0,28
6,151,9,37
6,91,9,37
10,2621,8,36
4,230,9,37
5,41,7,35
8,2008,8,36
1,1035,8,36
4,67,9,37
5,1623,9,37
6,203,10,38
7,70,10,38
7,42,10,38
1,87,4,32
2,55,3,31
6,134,10,38
6,150,9,37
3,24,1,29
4,79,10,38
5,83,10,38
3,88,11,39
4,169,10,38
5,29,11,39
8,727,7,35
7,38,11,39
8,142,11,39
5,828,11,39
1,70,7,35
1,118,9,37
5,685,10,38
7,782,9,37
10,234,7,35
