OT,overtime,schedule_day
9,151.0,0
7,76.0,1
MRI,239.0,1
7,47.0,2
9,98.0,2
MRI,120.0,4
10,460.0,4
MRI,131.0,7
9,137.0,7
MRI,40.0,8
7,436.0,9
8,483.0,9
6,18.0,10
3,67.0,10
8,6.0,11
MRI,191.0,11
10,231.0,11
4,35.0,11
9,69.0,14
MRI,6.0,15
6,20.0,16
10,25.0,16
8,79.0,14
4,132.0,17
10,397.0,17
MRI,147.0,18
3,138.0,21
MRI,158.0,21
3,8.0,22
5,13.0,23
7,172.0,23
8,92.0,25
10,20.0,0
9,59.0,0
MRI,168.0,1
7,51.0,3
3,54.0,2
4,78.0,3
8,274.0,4
MRI,284.0,4
MRI,84.0,7
MRI,60.0,8
5,84.0,8
7,52.0,9
7,23.0,10
3,14.0,11
8,39.0,11
MRI,43.0,11
7,51.0,11
4,473.0,11
MRI,380.0,15
10,3.0,17
7,35.0,17
MRI,417.0,18
5,42.0,22
MRI,101.0,22
3,172.0,21
9,26.0,23
10,509.0,23
10,232.0,24
4,416.0,24
4,34.0,25
MRI,254.0,25
9,95.0,0
8,273.0,0
4,21.0,3
MRI,112.0,4
5,364.0,4
5,409.0,7
MRI,96.0,8
9,50.0,9
8,133.0,9
7,23.0,10
3,88.0,14
9,126.0,14
MRI,2.0,15
7,9.0,16
4,117.0,17
MRI,175.0,18
3,84.0,21
MRI,146.0,21
MRI,22.0,22
7,346.0,22
8,48.0,21
9,62.0,23
4,222.0,24
MRI,257.0,25
MRI,118.0,1
9,385.0,2
8,444.0,0
7,0.0,3
4,127.0,3
7,48.0,4
4,56.0,4
6,312.0,4
MRI,327.0,4
6,32.0,7
10,151.0,7
9,319.0,7
MRI,339.0,7
MRI,4.0,8
8,25.0,9
7,81.0,9
2,145.0,8
7,0.0,10
6,49.0,10
3,133.0,10
4,4.0,9
7,68.0,11
MRI,454.0,11
3,10.0,14
9,36.0,14
7,49.0,17
MRI,48.0,18
MRI,441.0,21
7,4.0,22
5,13.0,22
4,47.0,22
2,55.0,22
MRI,344.0,22
10,372.0,22
6,16.0,23
7,87.0,23
10,123.0,23
MRI,124.0,25
8,396.0,25
10,404.0,25
9,16.0,0
MRI,222.0,1
8,155.0,0
6,46.0,3
5,120.0,3
4,136.0,3
6,18.0,4
MRI,225.0,4
MRI,95.0,7
MRI,436.0,8
9,7.0,9
5,70.0,9
7,88.0,9
4,458.0,9
MRI,23.0,11
8,138.0,11
4,509.0,11
3,115.0,14
MRI,8.0,15
10,184.0,17
MRI,49.0,18
10,252.0,18
5,263.0,21
MRI,417.0,21
MRI,97.0,22
10,102.0,23
8,286.0,21
4,113.0,23
10,428.0,25
9,38.0,0
MRI,213.0,1
5,76.0,2
9,79.0,2
8,294.0,2
7,46.0,3
3,47.0,2
MRI,177.0,4
8,162.0,3
3,83.0,4
9,26.0,7
MRI,171.0,7
MRI,154.0,8
8,402.0,9
7,407.0,9
2,426.0,8
5,71.0,10
MRI,106.0,11
4,242.0,11
9,44.0,14
MRI,86.0,15
8,41.0,14
MRI,192.0,18
MRI,61.0,21
3,300.0,21
MRI,227.0,22
5,440.0,22
4,478.0,23
MRI,221.0,25
MRI,185.0,1
MRI,438.0,7
MRI,204.0,8
7,17.0,9
8,2.0,11
5,58.0,11
MRI,181.0,11
4,100.0,9
9,23.0,14
MRI,77.0,15
4,305.0,17
MRI,60.0,18
MRI,121.0,21
3,224.0,21
MRI,394.0,22
9,76.0,23
7,498.0,23
7,18.0,24
4,440.0,23
MRI,3.0,25
8,241.0,21
10,94.0,0
9,309.0,0
7,48.0,1
MRI,505.0,1
4,5.0,2
9,348.0,2
4,173.0,3
8,229.0,0
4,6.0,4
MRI,38.0,4
9,44.0,7
MRI,173.0,7
5,284.0,8
7,4.0,9
MRI,10.0,11
9,216.0,14
3,470.0,14
MRI,218.0,15
6,16.0,17
4,433.0,17
MRI,23.0,18
MRI,39.0,21
10,249.0,22
MRI,498.0,22
9,43.0,23
6,101.0,23
7,260.0,23
10,339.0,23
4,28.0,23
MRI,24.0,25
8,503.0,25
9,13.0,0
MRI,477.0,1
MRI,121.0,4
5,204.0,4
MRI,314.0,7
5,272.0,7
6,48.0,9
7,79.0,11
MRI,158.0,11
3,310.0,10
4,476.0,9
9,67.0,14
10,395.0,14
MRI,167.0,15
8,269.0,15
4,14.0,16
MRI,260.0,18
MRI,86.0,21
3,100.0,21
5,481.0,21
5,11.0,22
MRI,277.0,22
9,6.0,23
7,137.0,23
MRI,10.0,25
9,164.0,0
MRI,238.0,1
4,270.0,3
6,94.0,4
MRI,104.0,4
8,137.0,0
MRI,8.0,7
9,407.0,7
7,69.0,10
4,242.0,9
10,257.0,10
3,373.0,10
MRI,231.0,11
9,64.0,14
10,223.0,14
3,297.0,14
MRI,218.0,15
4,71.0,17
MRI,38.0,18
5,354.0,21
MRI,492.0,21
MRI,374.0,22
7,123.0,23
8,331.0,21
MRI,182.0,25
4,374.0,23
9,245.0,0
7,178.0,0
7,34.0,2
7,42.0,3
6,39.0,4
MRI,291.0,4
3,233.0,4
9,132.0,7
MRI,170.0,8
6,20.0,9
9,80.0,9
2,159.0,8
MRI,151.0,11
4,105.0,11
7,59.0,15
MRI,285.0,15
8,220.0,14
10,331.0,17
MRI,313.0,18
3,18.0,21
9,52.0,21
MRI,367.0,21
MRI,208.0,22
9,75.0,23
4,412.0,23
MRI,404.0,25
