OT,overtime,schedule_day
8,65.0,0
10,93.0,0
6,284.0,0
MRI,32.0,1
8,497.0,1
3,51.0,2
4,139.0,2
7,145.0,2
8,467.0,2
5,61.0,3
6,184.0,3
7,148.0,4
8,224.0,4
5,448.0,4
6,7.0,7
10,8.0,7
2,15.0,8
3,71.0,8
5,259.0,8
7,47.0,9
6,352.0,9
5,213.0,10
4,279.0,10
6,270.0,14
7,283.0,14
9,300.0,14
5,313.0,14
5,47.0,15
9,338.0,16
5,328.0,17
6,104.0,18
7,204.0,18
8,118.0,21
5,4.0,22
8,500.0,22
7,29.0,23
5,293.0,23
4,24.0,24
5,99.0,24
1,174.0,25
5,229.0,25
4,300.0,25
8,32.0,0
5,391.0,0
6,424.0,0
9,55.0,0
2,271.0,1
3,11.0,2
4,128.0,2
5,259.0,2
4,168.0,4
7,306.0,4
8,45.0,7
6,78.0,7
5,433.0,7
5,205.0,8
7,19.0,9
6,284.0,9
8,71.0,14
9,287.0,14
7,381.0,14
3,10.0,15
2,459.0,15
7,258.0,16
5,153.0,16
MRI,8.0,18
1,136.0,18
8,118.0,21
10,124.0,21
6,304.0,21
3,250.0,22
5,318.0,22
9,14.0,23
4,50.0,23
1,164.0,25
4,495.0,25
7,96.0,0
3,111.0,0
8,178.0,0
6,268.0,0
8,444.0,2
5,478.0,2
4,458.0,4
5,136.0,8
9,191.0,7
6,62.0,9
8,126.0,14
5,141.0,14
5,174.0,15
MRI,39.0,18
7,106.0,18
1,206.0,18
5,323.0,21
5,212.0,22
7,161.0,23
7,77.0,24
1,309.0,25
7,86.0,0
8,221.0,0
2,57.0,1
7,83.0,2
4,164.0,2
9,244.0,2
10,26.0,7
8,42.0,7
6,114.0,7
9,432.0,7
5,144.0,8
6,347.0,9
3,15.0,10
5,506.0,11
8,16.0,14
6,253.0,14
7,352.0,14
5,298.0,15
6,86.0,16
MRI,6.0,18
1,114.0,18
6,156.0,18
4,217.0,18
7,302.0,18
6,39.0,21
10,180.0,21
5,196.0,21
8,457.0,21
3,12.0,22
5,22.0,22
5,138.0,23
1,341.0,25
6,72.0,0
8,101.0,0
5,144.0,0
2,126.0,1
7,5.0,2
8,252.0,2
5,426.0,2
9,485.0,2
5,268.0,3
MRI,1.0,4
MRI,23.0,7
6,109.0,7
9,452.0,7
3,139.0,8
5,169.0,8
6,70.0,9
8,2.0,14
5,242.0,14
5,58.0,15
9,332.0,16
MRI,13.0,18
3,225.0,18
