OT,schedule_day
5,0
6,0
7,0
7,0
7,0
7,1
5,1
5,2
9,2
3,2
5,2
3,2
4,4
5,4
5,7
6,7
9,7
5,7
5,8
9,9
7,14
5,14
6,14
9,14
7,14
9,16
4,16
5,21
2,22
2,22
5,23
5,23
4,23
4,23
10,24
5,24
5,24
5,25
4,25
4,25
5,0
7,0
7,0
7,0
5,2
3,2
4,2
5,2
5,4
4,4
5,7
6,7
5,7
7,8
5,8
8,8
10,8
5,10
5,11
3,11
10,11
7,11
7,14
5,14
6,14
7,14
7,16
4,18
6,21
5,23
4,23
5,24
4,25
4,25
7,0
3,2
6,7
5,7
7,8
5,8
9,9
5,10
7,11
7,14
5,14
6,14
9,14
7,14
5,15
7,15
5,16
10,16
6,16
4,16
7,16
2,22
5,23
5,23
10,23
6,23
4,23
5,25
4,25
4,25
5,0
6,0
7,0
7,0
7,0
7,1
5,2
9,2
5,2
5,3
5,4
5,7
6,7
5,7
5,8
9,9
9,9
5,14
9,14
7,14
7,16
7,16
5,18
4,18
5,21
6,21
4,23
4,23
4,23
5,24
5,24
5,25
4,25
4,25
5,0
6,0
7,0
7,0
7,0
5,2
5,7
5,7
3,11
7,11
5,14
6,14
9,14
7,14
9,16
4,16
5,21
6,21
5,23
4,23
4,23
4,23
5,24
4,25
4,25
4,25
7,0
5,7
6,7
5,7
5,8
9,9
5,9
7,14
5,14
6,14
7,14
5,16
7,16
4,16
5,18
5,18
5,23
5,23
10,23
4,23
4,23
4,25
4,25
5,0
6,0
7,0
7,0
7,0
3,2
5,2
5,4
5,4
5,7
6,7
5,7
7,8
5,8
8,8
5,14
6,14
7,14
5,15
5,16
7,16
7,16
4,16
4,23
5,25
5,25
4,25
4,25
5,0
6,0
7,0
7,0
7,0
5,1
5,1
5,7
6,7
5,7
9,14
7,14
9,16
7,16
4,16
5,18
4,18
5,18
6,21
4,23
4,23
4,23
4,25
4,25
6,0
7,0
7,0
7,0
9,2
5,2
3,2
5,7
6,7
5,7
5,8
7,14
7,16
7,16
4,16
4,16
5,18
5,21
6,21
4,23
4,23
4,25
4,25
4,25
5,0
6,0
7,0
9,2
4,4
5,7
5,8
9,14
7,14
9,16
4,16
5,18
4,18
6,21
2,22
4,23
4,23
4,25
4,25
5,0
7,0
9,2
5,4
5,7
5,7
9,9
7,14
5,14
6,14
9,14
7,14
9,16
7,16
7,16
4,16
5,18
4,18
4,18
5,21
6,21
5,23
4,23
4,23
4,25
4,25
4,25
5,0
7,0
9,2
4,4
6,7
9,7
5,7
9,9
7,11
7,14
5,14
6,14
9,14
7,14
9,16
4,16
4,16
4,16
5,18
6,21
4,23
4,23
4,23
5,24
4,25
4,25
5,0
6,0
7,0
7,0
7,0
5,1
5,7
5,7
5,8
5,8
5,10
3,11
7,11
3,11
7,14
5,14
6,14
9,14
7,14
5,16
9,16
4,18
5,21
2,22
5,23
10,23
4,23
10,24
5,24
5,25
4,25
4,25
6,0
7,0
7,0
7,0
7,1
5,2
5,4
5,4
5,7
6,7
9,7
5,7
7,8
5,8
5,8
9,9
7,14
5,14
6,14
9,14
7,14
7,16
7,16
5,18
5,21
2,22
4,23
5,25
4,25
4,25
4,25
5,0
6,0
7,0
7,0
7,0
3,1
9,2
5,4
4,4
5,7
6,7
9,7
5,7
7,8
5,8
8,8
9,9
5,9
7,11
7,14
5,14
6,14
9,14
7,14
5,15
7,15
5,16
9,16
7,16
4,16
4,18
5,18
5,21
6,21
9,21
5,23
4,23
4,23
4,25
4,25
5,0
6,0
7,0
7,0
7,0
5,1
5,2
5,2
4,4
5,4
4,4
4,4
5,7
6,7
9,7
5,7
5,8
5,8
9,9
9,9
5,14
6,14
9,14
7,14
9,16
4,16
4,18
4,18
4,18
5,21
4,23
4,25
4,25
10,0
5,0
6,0
7,0
7,0
7,0
7,1
5,1
5,2
4,4
5,7
6,7
9,7
5,7
5,8
7,14
4,18
5,21
6,21
5,23
5,23
4,23
4,23
4,23
4,25
4,25
5,0
7,0
7,0
3,2
3,2
4,2
5,2
3,2
5,7
5,7
9,9
3,11
10,11
7,11
7,14
5,14
6,14
9,14
7,14
5,16
4,16
5,17
5,18
5,21
6,21
4,23
4,23
5,24
4,25
4,25
5,0
5,4
5,4
5,7
6,7
5,7
5,8
5,8
9,9
9,9
5,14
9,14
7,14
5,15
4,16
4,18
9,21
10,22
4,23
4,25
4,25
7,0
9,2
4,4
6,7
5,7
7,8
5,8
4,9
5,14
9,14
7,14
6,16
4,16
5,18
5,21
6,21
5,23
5,23
4,23
4,25
4,25
5,0
7,0
7,0
7,0
4,4
5,7
5,7
5,8
5,8
9,9
9,9
7,14
