OT,overtime,schedule_day
9,151.0,0
MRI,239.0,1
5,16.0,2
10,35.0,2
7,47.0,2
9,98.0,2
MRI,120.0,4
MRI,131.0,7
MRI,40.0,8
7,436.0,9
3,67.0,10
MRI,191.0,11
4,35.0,11
9,69.0,14
8,79.0,14
4,106.0,17
MRI,147.0,18
3,138.0,21
7,16.0,23
10,20.0,0
9,59.0,0
7,4.0,1
MRI,168.0,1
5,94.0,2
8,274.0,4
MRI,284.0,4
MRI,84.0,7
7,52.0,9
MRI,43.0,11
4,473.0,11
4,502.0,17
MRI,417.0,18
MRI,101.0,22
3,172.0,21
9,26.0,23
5,95.0,24
MRI,254.0,25
9,95.0,0
MRI,118.0,1
4,21.0,3
MRI,112.0,4
MRI,96.0,8
9,50.0,9
7,23.0,10
3,88.0,14
9,126.0,14
MRI,2.0,15
4,117.0,17
MRI,175.0,18
3,84.0,21
MRI,146.0,21
MRI,22.0,22
9,62.0,23
MRI,257.0,25
MRI,56.0,1
9,385.0,2
8,444.0,0
7,0.0,3
4,127.0,3
MRI,327.0,4
6,32.0,7
10,151.0,7
9,319.0,7
MRI,339.0,7
MRI,4.0,8
8,25.0,9
7,81.0,9
2,145.0,8
7,18.0,10
3,133.0,10
4,4.0,9
MRI,454.0,11
3,10.0,14
MRI,48.0,18
MRI,441.0,21
7,4.0,22
5,13.0,22
MRI,344.0,22
5,3.0,23
7,87.0,23
10,123.0,23
MRI,124.0,25
8,396.0,25
9,16.0,0
MRI,222.0,1
8,155.0,0
4,136.0,3
6,18.0,4
MRI,225.0,4
MRI,95.0,7
MRI,436.0,8
9,7.0,9
7,88.0,9
4,458.0,9
MRI,23.0,11
8,79.0,11
4,509.0,11
3,115.0,14
MRI,8.0,15
10,184.0,17
MRI,49.0,18
10,252.0,18
5,263.0,21
MRI,417.0,21
8,286.0,21
4,113.0,23
7,49.0,25
10,428.0,25
9,38.0,0
5,20.0,2
9,79.0,2
8,95.0,2
7,97.0,4
MRI,177.0,4
3,83.0,4
9,26.0,7
MRI,171.0,7
MRI,154.0,8
7,407.0,9
2,426.0,8
4,242.0,11
9,44.0,14
MRI,86.0,15
8,41.0,14
5,13.0,17
7,33.0,17
5,2.0,18
MRI,192.0,18
MRI,61.0,21
3,300.0,21
7,84.0,22
MRI,227.0,22
4,478.0,23
MRI,221.0,25
5,7.0,0
MRI,438.0,7
MRI,19.0,8
8,2.0,11
4,100.0,9
9,23.0,14
4,305.0,17
MRI,60.0,18
MRI,121.0,21
3,224.0,21
3,39.0,22
MRI,394.0,22
9,76.0,23
4,440.0,23
MRI,3.0,25
10,94.0,0
9,309.0,0
7,48.0,1
MRI,505.0,1
9,348.0,2
8,229.0,0
MRI,38.0,4
3,493.0,4
MRI,173.0,7
MRI,127.0,8
5,284.0,8
7,7.0,9
MRI,10.0,11
9,216.0,14
3,470.0,14
5,116.0,17
4,433.0,17
MRI,23.0,18
5,55.0,18
MRI,39.0,21
MRI,498.0,22
9,43.0,23
6,101.0,23
7,260.0,23
10,339.0,23
4,28.0,23
10,268.0,24
MRI,24.0,25
9,13.0,0
MRI,121.0,4
MRI,314.0,7
5,272.0,7
7,35.0,10
5,3.0,11
MRI,158.0,11
3,310.0,10
4,476.0,9
9,67.0,14
10,395.0,14
MRI,167.0,15
6,31.0,16
MRI,260.0,18
MRI,86.0,21
3,100.0,21
5,11.0,22
MRI,277.0,22
9,6.0,23
9,164.0,0
MRI,238.0,1
MRI,104.0,4
8,137.0,0
MRI,8.0,7
4,242.0,9
10,257.0,10
3,373.0,10
9,64.0,14
10,223.0,14
3,297.0,14
MRI,218.0,15
10,324.0,17
MRI,38.0,18
MRI,492.0,21
MRI,374.0,22
7,31.0,23
8,331.0,21
7,6.0,25
MRI,182.0,25
4,374.0,23
9,245.0,0
7,178.0,0
MRI,291.0,4
3,233.0,4
9,132.0,7
9,80.0,9
10,450.0,10
MRI,151.0,11
4,105.0,11
MRI,313.0,18
3,18.0,21
7,77.0,22
9,75.0,23
