OT,surgery_duration,schedule_day,simulation_day
2,83,0,0
6,347,0,0
1,75,0,0
7,919,0,0
5,1425,0,0
MRI,43,1,1
9,54,0,0
MRI,59,1,1
MRI,50,1,1
2,226,1,1
7,22,1,1
3,54,1,1
2,121,1,1
7,50,1,1
9,1519,0,0
1,38,1,1
7,69,1,1
5,51,1,1
2,81,1,1
3,45,1,1
10,185,0,0
7,45,1,1
7,80,2,2
4,133,2,2
3,85,2,2
7,580,2,2
MRI,45,1,1
MRI,75,1,1
5,1305,2,2
9,74,2,2
2,49,3,3
8,1118,2,2
5,59,3,3
8,1018,1,1
6,121,3,3
6,98,3,3
MRI,55,1,1
4,81,2,2
7,913,3,3
1,65,2,2
3,152,2,2
MRI,56,4,4
5,1691,3,3
MRI,58,4,4
4,143,3,3
MRI,57,4,4
7,107,4,4
1,64,3,3
5,893,4,4
4,1340,4,4
7,611,4,4
9,155,2,2
6,29,4,4
10,346,1,1
4,252,2,2
3,152,4,4
MRI,61,4,4
8,1313,4,4
1,92,4,4
MRI,56,7,7
MRI,54,7,7
2,63,7,7
6,300,7,7
6,352,7,7
10,57,7,7
3,1119,7,7
MRI,32,7,7
MRI,38,8,8
8,132,8,8
10,184,7,7
9,1177,2,2
MRI,55,7,7
3,440,8,8
2,324,8,8
6,103,9,9
8,153,3,3
6,371,9,9
5,71,9,9
MRI,55,8,8
7,40,9,9
7,121,9,9
8,1119,9,9
10,95,9,9
4,218,9,9
7,106,9,9
6,97,10,10
9,114,9,9
10,175,2,2
4,1011,10,10
10,170,7,7
9,959,7,7
5,47,9,9
1,104,8,8
5,1897,7,7
MRI,42,11,11
MRI,40,11,11
1,151,10,10
8,709,7,7
3,178,11,11
4,133,11,11
8,563,11,11
1,118,9,9
10,143,11,11
4,123,11,11
5,812,11,11
10,141,9,9
3,68,11,11
7,88,8,8
1,111,11,11
1,96,7,7
MRI,57,11,11
2,57,14,14
8,79,8,8
8,407,0,0
7,95,14,14
5,460,1,1
6,484,14,14
5,613,14,14
10,57,14,14
10,133,14,14
9,1167,14,14
7,227,11,11
MRI,35,15,15
MRI,56,15,15
3,38,15,15
7,68,15,15
3,56,15,15
MRI,68,15,15
7,65,15,15
5,140,15,15
10,97,15,15
10,132,14,14
7,50,15,15
5,245,15,15
5,188,15,15
MRI,45,15,15
8,1018,15,15
MRI,59,15,15
1,118,14,14
8,62,16,16
MRI,22,15,15
4,221,16,16
7,704,14,14
4,73,16,16
2,66,10,10
6,96,16,16
9,945,16,16
7,75,16,16
4,57,16,16
10,130,15,15
MRI,82,7,7
7,339,16,16
8,100,16,16
7,82,17,17
6,139,16,16
MRI,68,18,18
3,80,18,18
MRI,59,18,18
4,657,18,18
6,114,11,11
3,276,18,18
7,894,18,18
1,85,17,17
5,852,18,18
MRI,44,18,18
1,77,16,16
3,205,0,0
1,60,15,15
MRI,42,18,18
4,280,17,17
MRI,55,18,18
8,459,14,14
7,61,15,15
9,55,21,21
MRI,62,21,21
MRI,54,21,21
3,76,18,18
6,301,21,21
MRI,66,21,21
6,450,21,21
5,788,21,21
4,57,22,22
5,73,21,21
7,66,22,22
9,1565,21,21
5,180,22,22
5,436,22,22
4,24,22,22
2,532,15,15
MRI,54,21,21
3,498,22,22
MRI,47,22,22
2,311,22,22
7,78,22,22
1,57,21,21
7,108,23,23
8,687,22,22
1,2679,18,18
10,2114,22,22
9,123,23,23
5,721,23,23
8,147,23,23
4,309,23,23
6,116,23,23
2,112,24,24
1,105,22,22
5,44,23,23
10,173,16,16
MRI,69,25,25
8,676,21,21
MRI,51,25,25
5,1088,24,24
3,300,25,25
3,33,25,25
4,597,25,25
5,728,25,25
1,110,23,23
9,1028,23,23
5,2018,16,16
6,3050,24,24
3,132,23,23
2,65,17,17
1,135,24,24
7,94,25,25
9,115,23,23
3,175,21,21
4,194,24,24
9,40,0,28
3,213,17,17
1,564,25,25
1,29,0,28
6,584,0,28
5,828,0,28
9,1364,0,28
7,1435,0,28
7,64,1,29
MRI,60,1,29
MRI,42,1,29
2,143,1,29
1,65,1,29
3,33,1,29
MRI,56,1,29
2,210,1,29
3,36,1,29
9,44,2,30
2,64,1,29
7,96,1,29
4,128,2,30
3,66,2,30
7,56,1,29
9,1389,9,9
8,650,0,28
8,2181,1,29
6,114,3,31
2,116,3,31
9,330,2,30
5,1058,3,31
5,531,2,30
7,42,2,30
4,32,2,30
MRI,33,4,32
8,134,4,32
MRI,8,4,32
4,700,4,32
7,503,2,30
3,246,4,32
1,61,2,30
5,58,1,29
7,446,4,32
MRI,46,4,32
MRI,56,4,32
1,66,4,32
2,78,7,35
10,308,2,30
MRI,32,7,35
6,430,7,35
10,69,7,35
10,925,0,28
1,64,3,31
2,242,8,36
5,111,8,36
8,60,8,36
5,142,8,36
MRI,22,8,36
5,231,8,36
10,131,1,29
10,87,9,37
MRI,120,7,35
6,47,9,37
6,268,9,37
4,434,9,37
5,19,9,37
6,344,9,37
10,66,7,35
10,108,9,37
5,71,9,37
8,1438,9,37
1,147,8,36
7,48,10,38
6,183,10,38
10,109,7,35
MRI,63,7,35
9,55,9,37
MRI,62,7,35
1,61,7,35
4,106,11,39
MRI,47,11,39
5,98,10,38
3,166,11,39
MRI,68,11,39
7,124,9,37
1,93,10,38
2,75,10,38
5,671,11,39
5,1561,7,35
1,55,11,39
6,199,11,39
3,92,11,39
6,515,14,42
7,67,9,37
5,540,14,42
9,1319,14,42
3,30,15,43
9,894,7,35
10,225,14,42
5,176,15,43
5,165,15,43
5,234,15,43
3,53,15,43
7,24,14,42
1,62,14,42
MRI,71,15,43
6,106,16,44
7,45,9,37
4,64,16,44
4,651,16,44
3,213,0,28
5,1227,16,44
7,682,16,44
8,117,16,44
2,29,17,45
1,76,9,37
7,59,16,44
1,66,16,44
1,87,17,45
5,778,17,45
MRI,56,18,46
MRI,57,18,46
MRI,52,18,46
6,482,18,46
2,59,0,28
3,275,18,46
5,832,18,46
4,970,18,46
3,145,10,10
7,104,17,45
10,168,16,44
3,161,18,46
8,450,7,35
2,51,21,21
9,32,21,49
MRI,54,21,49
MRI,66,21,49
6,605,21,49
1,82,15,43
5,36,21,49
5,1033,21,49
9,1296,21,49
MRI,129,22,50
MRI,54,22,50
2,145,22,50
4,33,22,50
5,255,22,50
2,84,22,50
5,214,22,50
5,151,22,50
8,432,14,42
1,754,18,46
2,22,21,49
4,131,22,50
MRI,30,21,49
5,39,23,51
7,88,23,51
4,280,23,51
6,148,23,51
5,1030,23,51
1,105,23,51
2,77,24,52
1,59,22,50
7,499,23,51
MRI,38,25,53
MRI,50,25,53
MRI,51,25,53
4,221,24,52
3,71,25,53
9,128,23,51
7,74,25,53
4,652,25,53
1,993,25,53
9,80,23,51
5,229,24,52
7,56,22,50
MRI,48,25,53
3,165,23,51
3,231,21,49
1,58,24,52
9,68,0,56
7,1169,0,56
5,1214,0,56
1,52,0,56
2,82,14,42
6,1486,0,56
MRI,42,1,57
1,59,21,49
MRI,67,1,57
7,55,1,57
2,304,1,57
9,1689,0,56
1,53,1,57
MRI,45,1,57
2,180,1,57
2,65,1,57
7,58,2,58
4,89,2,58
3,62,2,58
3,26,1,57
8,606,2,58
5,775,2,58
2,89,0,56
9,130,2,58
8,476,21,49
5,1299,3,59
MRI,47,4,60
MRI,70,4,60
3,235,4,60
1,93,3,59
1,88,2,58
7,791,2,58
10,1016,21,49
