schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
0,0,4,0,4,0,9,0,4,0,3,0,3,0,7,0,0,0
0,0,4,0,4,0,9,0,4,0,3,0,3,0,7,0,0,0
0,0,4,0,4,0,9,0,4,0,3,0,3,0,7,0,0,0
0,0,4,0,4,0,9,0,4,0,3,0,3,0,7,0,0,0
0,0,4,0,4,0,9,0,4,0,3,0,3,0,7,0,0,0
0,0,4,0,4,0,9,0,4,0,3,0,3,0,7,0,0,0
0,0,4,0,4,0,9,0,4,0,3,0,3,0,8,0,8,0
0,0,4,0,4,0,10,3,4,2,3,0,4,1,8,1,8,2
0,0,4,0,4,0,10,4,4,3,3,0,4,1,8,1,8,2
0,0,4,0,4,0,10,4,4,3,3,0,4,1,8,3,9,2
0,0,4,0,4,0,10,5,4,3,3,0,4,1,8,3,9,2
0,0,4,0,4,0,10,5,4,4,3,0,4,1,8,3,9,2
0,0,4,0,4,0,10,6,4,4,3,0,4,1,8,3,9,2
0,0,4,0,4,0,10,6,4,4,3,0,4,1,8,1,5,2
0,0,4,0,4,0,10,4,4,3,3,0,4,1,8,1,5,2
0,0,4,0,4,0,10,3,4,3,3,0,4,1,8,1,5,2
0,0,4,0,4,0,9,3,4,3,3,0,3,1,8,1,5,2
0,0,4,0,4,0,9,3,4,3,3,0,3,1,8,1,0,2
0,0,4,0,4,0,9,3,4,2,3,0,3,1,8,1,0,1
0,0,4,0,4,0,9,3,4,2,3,0,3,1,8,1,0,0
0,0,4,0,4,0,9,3,4,2,3,0,3,1,8,1,0,0
0,0,4,0,4,0,9,3,4,2,3,0,3,1,8,1,0,0
0,0,4,0,4,0,9,3,4,2,3,0,3,1,8,1,0,0
0,0,4,0,4,0,9,3,4,2,3,0,3,1,7,1,0,0
1,1,4,0,4,0,9,3,4,2,3,0,3,1,4,1,0,0
1,1,4,0,4,0,9,3,4,2,3,0,3,1,4,1,0,0
1,1,4,0,4,0,9,3,4,2,3,0,3,1,4,1,0,0
1,1,4,0,4,0,9,3,4,2,3,0,3,1,4,1,0,0
1,1,4,0,4,0,9,3,4,2,3,0,3,1,4,1,0,0
1,1,4,0,4,0,9,3,4,2,3,0,3,1,4,1,0,0
1,1,4,0,4,0,9,3,4,2,3,0,3,1,4,1,8,0
1,1,4,0,4,0,10,4,4,2,3,2,4,1,5,4,8,1
1,1,4,0,4,0,10,5,4,3,3,3,4,1,5,5,8,1
1,1,4,0,4,0,10,6,4,4,3,2,4,1,5,5,9,2
1,1,4,0,4,0,10,9,4,4,3,3,4,1,5,5,9,2
1,1,4,0,4,0,10,9,4,4,3,3,4,1,5,5,9,2
1,1,4,0,4,0,10,9,4,4,3,3,4,1,5,5,9,2
1,1,4,0,4,0,10,7,4,4,3,2,4,1,5,5,5,1
1,1,4,0,4,0,10,6,4,4,3,2,4,1,5,5,5,1
1,1,4,0,4,0,10,6,4,4,3,2,4,1,4,5,5,1
1,1,4,0,4,0,9,6,4,4,3,2,3,1,4,5,5,1
1,1,4,0,4,0,9,6,4,4,3,2,3,1,4,3,0,1
1,1,4,0,4,0,9,6,4,4,3,2,3,1,4,3,0,1
1,1,4,0,4,0,9,6,4,4,3,2,3,0,4,3,0,1
1,1,4,0,4,0,9,6,4,4,3,2,3,0,4,3,0,1
1,1,4,0,4,0,9,6,4,4,3,2,3,0,4,3,0,1
1,1,4,0,4,0,9,5,4,4,3,2,3,0,4,3,0,1
1,1,4,0,4,0,9,5,4,4,3,2,3,0,4,3,0,1
