OT,surgery_duration,schedule_day,simulation_day
7,38,0,0
5,550,0,0
6,982,0,0
3,412,0,0
7,1195,0,0
MRI,43,1,1
3,42,1,1
2,99,1,1
3,23,1,1
2,304,1,1
8,83,1,1
5,296,1,1
5,167,1,1
1,79,0,0
8,140,1,1
MRI,46,1,1
7,47,2,2
3,111,2,2
4,192,2,2
3,99,2,2
3,280,2,2
4,108,2,2
10,591,0,0
8,60,2,2
9,1585,0,0
3,111,2,2
10,1636,2,2
4,67,3,3
8,167,2,2
6,101,3,3
5,1916,2,2
7,58,2,2
7,61,3,3
7,41,3,3
3,94,3,3
1,87,1,1
MRI,50,4,4
1,31,3,3
MRI,25,4,4
4,773,4,4
MRI,61,4,4
3,219,4,4
7,60,2,2
1,135,2,2
1,70,4,4
5,913,4,4
10,203,1,1
7,432,1,1
6,572,7,7
5,55,7,7
5,1189,7,7
MRI,29,7,7
2,96,8,8
8,581,0,0
3,295,8,8
5,213,8,8
2,194,8,8
2,193,8,8
2,67,8,8
10,152,4,4
7,48,9,9
7,45,9,9
3,204,7,7
4,597,9,9
8,89,9,9
6,1072,9,9
4,79,9,9
5,1530,9,9
7,67,10,10
3,42,10,10
7,39,10,10
6,170,9,9
8,314,4,4
5,681,10,10
3,110,11,11
5,914,11,11
9,97,9,9
1,46,8,8
2,59,3,3
8,289,7,7
9,1271,2,2
10,6169,9,9
1,89,9,9
7,83,14,14
5,324,14,14
5,671,14,14
6,674,14,14
7,72,9,9
3,1054,14,14
2,139,15,15
10,43,15,15
2,155,15,15
2,34,7,7
5,215,15,15
7,633,14,14
10,830,14,14
5,207,15,15
7,199,11,11
5,55,16,16
6,271,16,16
7,77,16,16
4,264,16,16
8,1291,16,16
7,62,16,16
9,1768,16,16
7,227,15,15
5,1941,16,16
4,74,2,2
6,165,16,16
4,68,17,17
7,125,17,17
6,113,17,17
10,3367,16,16
MRI,25,18,18
5,673,18,18
9,1386,14,14
3,154,18,18
4,772,18,18
7,409,18,18
3,109,18,18
1,74,14,14
4,94,16,16
8,488,14,14
2,73,14,14
2,58,0,0
MRI,44,21,21
MRI,68,21,21
6,378,21,21
5,25,21,21
5,507,21,21
1,64,7,7
1,1086,15,15
10,136,21,21
2,265,22,22
10,72,22,22
4,35,22,22
4,34,22,22
9,110,14,14
5,49,22,22
1,77,21,21
5,30,23,23
7,122,23,23
4,114,23,23
MRI,33,22,22
4,59,23,23
9,930,21,21
6,79,23,23
9,918,23,23
5,674,23,23
8,177,23,23
1,96,22,22
3,73,24,24
2,125,24,24
4,47,24,24
7,94,22,22
MRI,47,25,25
MRI,59,25,25
4,1106,25,25
3,73,25,25
5,1084,24,24
MRI,48,25,25
3,235,21,21
MRI,58,21,21
8,82,18,18
1,111,24,24
10,330,23,23
5,615,0,28
7,638,0,28
6,819,0,28
3,2005,0,28
5,290,1,29
MRI,56,1,29
2,126,1,29
5,185,1,29
8,472,21,21
2,63,1,29
2,244,1,29
1,67,0,28
3,225,2,30
7,50,2,30
4,73,2,30
3,197,2,30
9,895,0,28
4,234,2,30
4,333,2,30
9,1439,2,30
3,59,3,31
4,118,3,31
1,171,23,23
7,74,0,28
10,421,0,28
MRI,65,4,32
5,1793,25,25
MRI,53,4,32
5,1677,2,30
7,92,4,32
3,181,4,32
5,1457,4,32
1,88,2,30
4,993,4,32
2,81,0,28
7,406,23,23
MRI,62,7,35
MRI,58,7,35
1,83,4,32
5,104,7,35
6,603,7,35
2,37,7,35
1,78,1,29
5,849,7,35
3,420,8,36
2,158,8,36
2,165,8,36
MRI,74,8,36
2,58,3,31
4,117,9,37
4,46,9,37
10,92,7,35
7,67,9,37
6,408,9,37
2,98,8,36
7,65,3,31
9,1111,9,37
3,127,7,35
2,176,10,38
6,124,9,37
MRI,38,7,35
7,61,10,38
5,1846,9,37
6,170,4,4
10,191,10,38
MRI,68,11,39
MRI,62,11,39
4,143,11,39
7,46,10,38
4,147,11,39
8,309,0,28
1,58,8,36
10,50,11,39
5,1441,11,39
1,107,9,37
8,585,7,35
1,61,7,35
10,106,7,35
3,52,10,38
2,55,14,42
7,65,14,42
5,660,14,42
6,716,14,42
3,741,14,42
9,890,14,42
7,896,14,42
7,58,15,43
MRI,37,15,43
2,120,15,43
5,171,15,43
2,154,15,43
9,138,9,37
5,267,15,43
4,251,10,38
10,98,15,43
7,82,16,44
4,86,16,44
5,1124,16,44
6,386,16,44
2,60,17,45
4,164,17,45
9,63,14,42
7,212,8,8
MRI,77,15,43
1,646,15,43
2,448,15,43
6,184,16,44
8,1617,16,44
MRI,24,18,46
MRI,36,18,46
MRI,30,18,46
5,1379,17,45
1,74,14,42
1,83,16,44
10,1747,14,42
4,514,18,46
MRI,31,18,46
5,1287,18,46
6,489,4,32
3,255,11,39
3,269,18,46
5,130,16,44
1,83,18,46
6,855,21,49
1,70,21,49
4,46,22,50
10,121,22,50
