OT,overtime,schedule_day
10,64.0,0
MRI,101.0,1
7,59.0,3
4,130.0,2
7,276.0,4
MRI,385.0,4
10,36.0,7
9,76.0,7
MRI,206.0,7
MRI,154.0,8
7,278.0,8
10,316.0,9
MRI,155.0,11
10,276.0,11
9,21.0,14
3,164.0,14
7,373.0,14
6,4.0,16
8,426.0,14
4,464.0,17
MRI,0.0,18
5,36.0,18
4,175.0,18
8,280.0,18
MRI,83.0,21
9,346.0,21
MRI,119.0,22
9,110.0,23
4,32.0,25
8,75.0,25
MRI,299.0,25
10,344.0,25
MRI,69.0,1
10,238.0,2
5,21.0,3
MRI,317.0,4
MRI,62.0,7
5,156.0,7
MRI,176.0,8
9,29.0,9
MRI,31.0,11
4,157.0,11
10,304.0,14
8,471.0,14
4,122.0,17
MRI,116.0,18
6,400.0,18
9,46.0,21
10,282.0,21
4,20.0,22
2,80.0,22
MRI,104.0,22
8,200.0,21
MRI,200.0,25
8,210.0,25
3,89.0,25
MRI,68.0,1
8,367.0,0
10,400.0,2
MRI,14.0,4
5,101.0,4
6,131.0,4
9,26.0,7
MRI,221.0,7
5,60.0,7
MRI,169.0,8
7,207.0,8
9,208.0,9
MRI,7.0,11
3,252.0,14
4,35.0,17
8,280.0,14
MRI,246.0,18
3,454.0,18
MRI,182.0,21
5,443.0,21
MRI,231.0,22
MRI,312.0,25
3,218.0,25
4,73.0,2
8,138.0,0
10,173.0,2
MRI,23.0,4
MRI,75.0,7
MRI,58.0,8
5,61.0,10
8,125.0,16
4,272.0,17
MRI,58.0,21
5,408.0,21
MRI,129.0,22
8,411.0,21
4,49.0,25
MRI,78.0,25
3,280.0,25
MRI,25.0,1
5,9.0,3
MRI,160.0,4
10,2.0,7
MRI,185.0,7
MRI,195.0,11
10,34.0,14
3,428.0,14
MRI,132.0,21
MRI,237.0,22
2,273.0,22
9,388.0,23
4,266.0,24
MRI,92.0,25
2,78.0,1
MRI,256.0,1
6,7.0,4
MRI,42.0,4
4,135.0,2
7,240.0,4
MRI,206.0,7
2,116.0,8
MRI,222.0,11
7,494.0,14
MRI,285.0,15
4,377.0,17
4,21.0,18
MRI,74.0,18
8,253.0,18
MRI,19.0,21
5,12.0,21
MRI,50.0,22
2,53.0,22
5,66.0,23
4,46.0,25
MRI,239.0,25
3,146.0,25
MRI,155.0,1
MRI,141.0,4
9,11.0,7
MRI,29.0,7
10,95.0,7
MRI,176.0,8
9,406.0,9
MRI,321.0,11
4,274.0,11
MRI,298.0,15
3,82.0,14
4,71.0,17
MRI,114.0,18
3,352.0,18
MRI,68.0,21
9,258.0,21
MRI,207.0,22
5,364.0,21
8,32.0,14
7,69.0,23
9,365.0,23
MRI,131.0,25
3,17.0,25
10,141.0,0
MRI,35.0,1
8,44.0,2
3,286.0,4
9,25.0,7
MRI,230.0,7
MRI,383.0,8
2,197.0,8
8,198.0,11
MRI,452.0,11
3,102.0,14
MRI,198.0,15
4,195.0,17
MRI,244.0,18
5,6.0,22
MRI,15.0,22
3,71.0,22
MRI,208.0,25
10,418.0,2
4,99.0,2
6,387.0,4
10,387.0,7
5,476.0,7
MRI,125.0,8
8,369.0,7
5,96.0,11
MRI,2.0,18
3,125.0,18
MRI,272.0,22
4,65.0,25
3,167.0,25
MRI,62.0,1
8,108.0,2
4,262.0,2
7,351.0,4
MRI,370.0,7
MRI,111.0,8
8,272.0,7
4,50.0,10
MRI,129.0,11
8,154.0,11
3,170.0,14
MRI,447.0,15
8,352.0,14
MRI,186.0,18
MRI,23.0,21
MRI,82.0,22
4,149.0,24
MRI,152.0,25
3,72.0,25
MRI,66.0,1
4,111.0,2
MRI,359.0,4
MRI,56.0,7
MRI,18.0,8
7,15.0,9
6,125.0,9
3,39.0,11
MRI,121.0,11
8,307.0,11
MRI,375.0,18
3,479.0,18
9,55.0,21
MRI,203.0,21
MRI,90.0,22
9,64.0,23
8,221.0,21
10,1.0,25
4,40.0,25
8,72.0,25
MRI,122.0,25
3,161.0,25
10,394.0,0
MRI,19.0,1
10,400.0,2
4,276.0,3
MRI,228.0,4
6,234.0,4
MRI,210.0,7
MRI,118.0,8
8,368.0,7
5,24.0,10
8,223.0,11
MRI,345.0,11
4,195.0,11
3,49.0,14
MRI,249.0,15
8,343.0,14
MRI,223.0,18
3,24.0,21
2,160.0,22
4,102.0,24
10,261.0,25
MRI,359.0,25
8,460.0,25
3,87.0,25
MRI,59.0,1
10,370.0,2
10,43.0,7
MRI,108.0,7
8,497.0,7
MRI,60.0,11
8,143.0,14
MRI,118.0,18
MRI,204.0,21
5,128.0,22
MRI,138.0,22
2,168.0,22
7,2.0,25
MRI,33.0,25
MRI,127.0,1
8,4.0,2
5,41.0,3
MRI,29.0,4
4,275.0,2
MRI,201.0,7
MRI,2.0,8
9,349.0,9
2,444.0,8
MRI,260.0,11
3,235.0,14
MRI,207.0,15
4,165.0,17
MRI,52.0,18
MRI,149.0,21
MRI,10.0,22
9,90.0,23
MRI,64.0,25
MRI,201.0,1
8,383.0,0
4,243.0,3
4,1.0,4
MRI,44.0,4
10,13.0,7
MRI,76.0,7
9,485.0,7
MRI,354.0,8
2,250.0,8
4,358.0,10
MRI,113.0,11
4,396.0,11
3,316.0,14
MRI,69.0,15
9,96.0,16
8,155.0,14
MRI,462.0,18
10,7.0,21
MRI,163.0,21
MRI,86.0,22
4,59.0,24
7,24.0,25
MRI,120.0,25
3,395.0,25
MRI,289.0,1
4,85.0,2
MRI,119.0,4
MRI,43.0,7
MRI,17.0,8
8,232.0,9
MRI,49.0,11
3,191.0,14
MRI,263.0,15
MRI,32.0,18
3,89.0,18
MRI,7.0,21
10,48.0,21
MRI,40.0,22
8,483.0,21
MRI,81.0,25
7,87.0,2
8,508.0,2
3,274.0,4
MRI,279.0,4
9,34.0,7
MRI,261.0,7
MRI,74.0,8
7,183.0,8
MRI,180.0,11
8,257.0,11
4,70.0,11
2,156.0,15
MRI,158.0,15
5,7.0,16
4,427.0,17
MRI,207.0,18
3,231.0,18
MRI,66.0,21
MRI,135.0,22
2,266.0,22
6,26.0,23
4,30.0,25
MRI,130.0,25
MRI,295.0,1
MRI,108.0,4
MRI,65.0,7
9,216.0,7
10,443.0,7
MRI,202.0,8
9,20.0,9
MRI,141.0,11
3,57.0,14
10,196.0,14
MRI,146.0,15
MRI,4.0,18
10,328.0,21
MRI,62.0,22
9,116.0,23
8,132.0,23
MRI,204.0,25
3,215.0,25
MRI,1.0,1
7,20.0,4
6,197.0,4
MRI,251.0,4
MRI,101.0,7
10,166.0,7
MRI,43.0,8
9,99.0,9
2,286.0,8
5,410.0,9
MRI,79.0,11
4,327.0,11
MRI,51.0,15
7,394.0,14
MRI,130.0,18
6,351.0,18
3,51.0,18
9,92.0,21
MRI,103.0,21
MRI,84.0,22
4,3.0,25
MRI,237.0,25
10,361.0,25
10,261.0,0
MRI,191.0,1
4,181.0,3
MRI,260.0,4
MRI,5.0,7
MRI,172.0,8
9,99.0,9
10,160.0,9
4,167.0,9
MRI,402.0,11
10,10.0,14
3,31.0,14
MRI,13.0,15
10,26.0,16
8,109.0,14
4,322.0,17
6,11.0,18
MRI,74.0,18
5,382.0,21
8,68.0,23
4,189.0,24
MRI,112.0,25
MRI,9.0,1
MRI,184.0,4
6,447.0,4
MRI,47.0,7
9,108.0,7
5,234.0,7
MRI,40.0,8
9,46.0,9
MRI,302.0,11
3,196.0,14
MRI,139.0,15
MRI,25.0,18
10,33.0,21
MRI,95.0,21
MRI,355.0,22
MRI,48.0,25
MRI,507.0,1
4,257.0,2
3,321.0,4
MRI,92.0,7
9,171.0,7
MRI,83.0,8
9,397.0,9
8,488.0,7
2,52.0,8
MRI,412.0,11
4,184.0,11
7,24.0,15
MRI,239.0,15
5,284.0,21
10,290.0,21
MRI,9.0,22
2,135.0,22
4,73.0,24
4,27.0,25
MRI,225.0,1
4,301.0,2
3,130.0,4
MRI,168.0,4
MRI,175.0,7
MRI,207.0,8
9,69.0,9
MRI,174.0,11
3,30.0,14
MRI,55.0,15
8,199.0,14
MRI,276.0,18
MRI,97.0,21
5,382.0,21
4,10.0,24
MRI,124.0,25
3,63.0,25
MRI,182.0,1
5,43.0,3
MRI,24.0,4
MRI,70.0,7
5,254.0,7
MRI,338.0,8
MRI,19.0,11
8,143.0,7
4,318.0,9
MRI,2.0,18
MRI,181.0,21
8,85.0,21
4,90.0,24
MRI,75.0,25
MRI,263.0,1
8,65.0,0
7,134.0,2
5,6.0,3
MRI,52.0,4
10,215.0,7
MRI,344.0,7
MRI,79.0,8
5,12.0,9
8,254.0,9
10,294.0,9
4,227.0,10
MRI,108.0,11
7,21.0,16
5,84.0,16
5,54.0,18
6,81.0,18
5,293.0,21
MRI,337.0,21
MRI,76.0,22
2,210.0,22
MRI,252.0,25
3,22.0,25
MRI,355.0,1
10,7.0,2
MRI,270.0,4
3,280.0,4
MRI,151.0,7
10,283.0,7
5,400.0,7
4,456.0,10
MRI,74.0,11
8,91.0,11
3,392.0,14
MRI,135.0,15
8,169.0,16
4,191.0,17
MRI,0.0,18
3,280.0,18
MRI,420.0,21
MRI,42.0,22
9,6.0,23
MRI,26.0,25
8,247.0,21
MRI,208.0,1
4,326.0,2
MRI,25.0,4
8,316.0,0
9,20.0,9
MRI,308.0,15
8,120.0,16
5,12.0,17
7,52.0,17
4,4.0,18
MRI,79.0,18
6,233.0,18
MRI,8.0,21
2,95.0,22
MRI,102.0,22
3,10.0,25
MRI,38.0,1
4,68.0,2
8,269.0,0
MRI,203.0,4
MRI,509.0,7
9,254.0,9
MRI,279.0,11
4,243.0,11
3,419.0,14
MRI,14.0,15
5,439.0,16
MRI,21.0,18
MRI,257.0,21
MRI,427.0,22
7,39.0,23
MRI,128.0,25
MRI,140.0,1
8,19.0,0
4,288.0,2
MRI,68.0,4
6,322.0,4
MRI,62.0,7
9,277.0,7
MRI,190.0,8
9,231.0,9
MRI,232.0,11
3,69.0,14
MRI,359.0,15
6,8.0,16
8,402.0,14
MRI,49.0,18
9,10.0,21
MRI,64.0,21
MRI,221.0,22
2,474.0,22
8,143.0,23
MRI,144.0,25
MRI,5.0,1
2,6.0,1
8,101.0,0
4,472.0,2
MRI,32.0,4
3,169.0,4
9,51.0,7
MRI,140.0,7
MRI,134.0,8
5,44.0,9
2,391.0,8
