OT,overtime,schedule_day
5,121.0,0
8,178.0,0
2,158.0,1
5,231.0,1
9,291.0,0
3,51.0,2
4,55.0,2
7,266.0,2
5,319.0,2
7,67.0,3
8,86.0,3
7,121.0,4
10,233.0,4
6,4.0,7
10,25.0,7
7,235.0,8
6,18.0,9
8,118.0,10
5,143.0,10
3,120.0,11
5,413.0,11
8,8.0,14
5,219.0,14
5,145.0,15
7,174.0,16
6,359.0,16
MRI,24.0,18
7,241.0,18
6,8.0,21
5,364.0,21
5,17.0,22
2,345.0,22
6,283.0,23
7,427.0,23
10,27.0,24
8,141.0,0
5,183.0,0
6,328.0,0
10,348.0,0
2,25.0,1
1,113.0,1
8,3.0,1
7,397.0,2
8,159.0,3
7,15.0,4
10,16.0,4
4,337.0,4
6,351.0,7
5,91.0,8
3,142.0,8
7,293.0,8
9,283.0,9
8,48.0,9
5,220.0,9
10,40.0,11
5,449.0,11
5,31.0,14
8,169.0,14
7,238.0,14
5,216.0,15
7,365.0,15
6,76.0,16
7,228.0,16
5,397.0,16
7,69.0,18
5,442.0,18
10,41.0,21
6,179.0,21
5,130.0,22
6,72.0,23
7,207.0,23
9,500.0,23
5,437.0,23
3,61.0,25
6,157.0,0
8,212.0,0
5,47.0,0
1,496.0,1
7,93.0,2
9,314.0,2
8,27.0,7
5,432.0,8
8,198.0,9
10,92.0,14
7,207.0,14
9,402.0,14
5,143.0,15
8,429.0,15
7,167.0,16
10,208.0,16
7,480.0,18
MRI,8.0,21
8,151.0,21
9,359.0,21
5,503.0,21
5,273.0,22
3,321.0,22
4,45.0,23
6,142.0,23
7,181.0,23
8,100.0,24
5,273.0,25
5,116.0,0
6,230.0,0
2,181.0,1
3,14.0,2
7,148.0,2
5,237.0,2
9,471.0,2
7,127.0,4
5,408.0,3
10,98.0,7
8,195.0,7
6,386.0,7
1,73.0,8
9,126.0,7
3,133.0,8
5,180.0,8
7,499.0,8
7,12.0,9
8,277.0,8
5,249.0,14
9,332.0,14
7,413.0,14
6,433.0,14
5,194.0,15
7,109.0,15
7,26.0,17
10,300.0,16
5,416.0,16
MRI,22.0,18
5,351.0,18
4,441.0,18
6,32.0,21
5,117.0,22
6,139.0,23
7,453.0,23
4,307.0,25
