OT,schedule_day
6,0
7,0
7,0
7,0
5,7
5,8
5,8
6,9
5,15
4,25
4,25
5,8
9,14
5,15
9,16
4,18
4,25
4,25
5,8
6,9
5,15
5,15
5,21
4,25
4,25
7,0
6,9
6,9
5,15
4,25
4,25
4,25
4,25
6,9
5,15
9,16
4,18
4,25
4,25
5,8
6,9
5,15
5,15
4,25
4,25
7,0
6,9
7,14
9,16
4,25
4,25
4,4
5,8
6,9
5,15
5,15
4,25
4,25
7,0
5,8
6,9
5,14
5,15
5,15
4,18
4,25
4,25
4,4
6,7
6,9
5,14
5,15
5,15
9,16
5,21
5,21
4,25
4,25
9,0
7,0
2,1
5,2
7,2
5,2
4,4
6,9
5,11
9,14
9,16
4,25
4,25
7,0
2,1
5,8
5,15
4,25
4,25
7,0
4,4
5,8
5,8
5,15
9,16
7,24
4,25
4,25
4,25
7,0
9,7
5,8
6,9
9,14
5,15
5,15
9,16
4,18
4,25
4,25
5,0
7,0
7,0
7,0
4,25
4,25
4,25
7,0
2,1
5,3
6,9
5,15
5,15
9,16
4,25
4,25
4,25
5,15
4,25
9,14
5,15
5,15
4,25
4,25
7,0
6,7
6,9
5,15
4,18
4,25
4,25
4,4
5,8
6,9
5,15
4,25
4,25
9,0
7,0
5,8
5,8
5,15
5,15
6,21
4,25
4,25
7,2
4,4
6,9
5,15
5,22
4,25
4,25
5,0
7,2
5,8
5,8
6,9
5,15
5,15
4,25
4,25
7,0
4,4
5,8
6,9
3,11
5,15
5,15
9,16
4,25
4,25
2,1
6,7
4,18
4,25
4,25
7,0
6,7
5,8
6,9
5,15
4,25
4,25
4,4
6,9
3,11
5,11
5,14
5,15
5,15
9,16
5,17
5,18
6,21
7,24
4,25
4,25
5,0
7,0
6,9
5,15
4,25
5,0
4,4
6,9
5,15
4,25
7,0
6,9
5,15
9,14
5,15
5,15
4,25
4,25
7,0
4,4
6,9
5,15
9,16
4,18
4,25
4,25
5,8
7,14
5,15
5,15
5,16
5,17
5,17
4,25
4,25
7,0
5,8
6,9
9,14
5,15
9,16
9,23
4,25
4,25
6,9
6,9
9,14
5,15
4,25
4,25
7,0
7,0
7,0
2,1
5,8
6,9
9,14
5,15
5,15
9,16
9,16
4,18
7,24
4,25
4,25
7,0
6,9
7,15
5,15
4,25
4,25
4,25
5,0
7,0
5,8
5,8
5,15
4,25
4,25
5,15
5,15
5,16
4,25
4,25
4,4
5,8
6,9
5,15
6,21
4,25
4,25
7,0
2,1
5,3
5,8
5,14
5,15
5,15
5,23
4,25
4,25
7,0
2,1
2,1
2,1
5,8
6,9
5,15
4,25
4,25
5,0
7,0
7,0
7,0
9,7
5,8
5,8
5,8
6,9
3,11
9,14
5,15
9,16
5,18
3,25
4,25
4,25
5,0
7,0
4,4
4,4
6,9
6,9
5,15
4,25
4,25
5,0
7,0
7,1
4,4
4,4
5,8
5,8
6,9
9,14
5,15
4,25
4,25
7,0
2,1
5,2
4,4
6,9
5,15
5,15
4,25
4,25
7,0
5,14
4,25
5,8
5,8
6,9
3,11
9,14
5,15
9,16
7,16
4,18
4,25
4,25
6,7
6,9
6,9
9,14
5,15
5,15
9,16
4,18
4,18
4,25
4,25
5,8
5,15
9,16
4,25
4,25
7,0
2,1
6,9
5,15
4,25
4,25
7,0
2,1
6,9
5,11
5,14
5,15
5,15
4,25
7,0
2,1
6,9
5,15
5,17
4,25
4,25
7,0
5,2
5,8
7,15
5,15
5,15
5,15
4,25
4,25
5,8
6,9
5,14
5,15
4,25
4,25
5,0
7,0
7,0
7,0
5,8
5,8
5,8
6,9
5,15
5,15
5,16
5,17
5,21
5,23
4,25
4,25
5,15
5,15
4,25
5,10
5,15
5,21
4,25
4,25
7,0
4,4
5,8
6,9
5,15
5,15
6,21
3,25
4,25
4,25
7,0
5,2
5,4
5,7
6,7
5,8
5,11
5,15
5,15
5,15
4,25
4,25
6,9
5,15
9,16
6,21
3,25
4,25
4,25
7,0
7,0
5,8
5,15
5,15
5,17
5,17
5,21
4,25
4,25
7,0
4,4
5,8
6,9
9,14
5,15
5,21
6,21
4,25
4,25
4,25
7,0
5,8
8,9
7,9
7,9
7,9
5,15
4,18
6,21
4,25
4,25
4,25
5,0
6,0
7,0
7,0
5,8
5,8
5,15
4,25
4,25
5,0
7,0
7,0
7,0
5,8
6,9
5,15
5,15
4,18
4,25
4,25
5,15
4,25
4,25
5,8
6,9
3,11
5,15
5,15
4,25
4,25
5,15
5,15
9,16
9,16
4,18
4,18
4,25
4,25
5,8
6,9
9,14
5,15
5,15
4,25
4,25
9,7
5,15
5,15
9,16
5,22
4,25
4,25
5,15
5,15
4,18
4,18
5,21
6,21
4,25
4,25
7,0
5,8
6,9
5,15
5,15
9,16
5,22
5,22
4,25
4,25
5,0
6,0
7,0
7,0
7,0
4,4
6,7
6,9
6,9
5,15
5,15
3,25
4,25
4,25
7,0
5,4
6,9
3,11
5,14
5,15
5,15
4,25
4,25
2,1
5,8
5,8
5,8
6,9
5,15
5,15
9,16
5,17
5,18
4,25
4,25
7,0
5,8
6,9
6,9
5,15
6,21
4,25
4,25
9,0
5,8
6,9
6,9
5,15
5,21
4,25
4,25
