OT,overtime,schedule_day
MRI,64.0,1
5,22.0,2
10,63.0,3
5,84.0,3
7,32.0,4
MRI,496.0,4
MRI,206.0,7
10,158.0,8
MRI,382.0,8
4,64.0,10
10,422.0,10
10,77.0,11
MRI,361.0,11
MRI,103.0,15
7,29.0,16
MRI,55.0,18
7,145.0,18
MRI,346.0,21
MRI,75.0,22
9,196.0,23
8,213.0,23
7,68.0,24
4,304.0,24
MRI,158.0,25
7,187.0,25
8,32.0,24
7,6.0,3
4,128.0,3
MRI,278.0,7
4,50.0,9
7,70.0,9
5,10.0,10
4,156.0,10
MRI,241.0,11
MRI,42.0,15
8,120.0,16
4,56.0,17
5,306.0,16
MRI,146.0,18
8,351.0,18
MRI,196.0,21
MRI,104.0,22
9,482.0,23
9,77.0,0
7,446.0,0
MRI,230.0,1
4,240.0,2
8,414.0,0
4,60.0,3
MRI,89.0,4
8,160.0,4
6,374.0,4
5,479.0,4
3,385.0,4
MRI,424.0,7
MRI,177.0,8
8,472.0,7
MRI,98.0,11
4,5.0,11
5,4.0,14
MRI,182.0,15
7,329.0,15
9,39.0,16
MRI,307.0,18
MRI,210.0,21
MRI,309.0,22
9,35.0,23
4,74.0,24
5,59.0,25
9,112.0,0
MRI,44.0,1
4,261.0,3
6,59.0,4
7,212.0,4
MRI,224.0,4
MRI,93.0,7
MRI,110.0,8
7,1.0,9
4,23.0,10
7,58.0,10
MRI,240.0,11
9,67.0,14
MRI,42.0,15
9,76.0,16
8,140.0,18
MRI,170.0,18
7,450.0,18
3,37.0,18
MRI,52.0,21
3,22.0,22
9,67.0,23
10,147.0,23
MRI,52.0,1
4,224.0,3
5,101.0,4
6,178.0,4
7,182.0,4
MRI,370.0,4
5,274.0,7
MRI,4.0,8
MRI,158.0,11
4,392.0,11
9,13.0,16
8,105.0,14
MRI,214.0,18
MRI,24.0,21
MRI,399.0,22
9,113.0,23
2,187.0,22
10,418.0,23
6,23.0,24
8,162.0,21
MRI,267.0,25
9,190.0,0
MRI,153.0,1
5,0.0,2
7,77.0,4
8,188.0,4
MRI,215.0,4
MRI,9.0,7
MRI,248.0,8
7,15.0,9
8,254.0,7
10,4.0,11
7,11.0,11
MRI,98.0,11
8,107.0,11
4,334.0,11
8,135.0,14
7,169.0,15
MRI,247.0,15
5,479.0,16
